% 116
1.0 1.0 0
2.0 1.0 0
3.0 1.0 2
4.0 1.0 2
5.0 1.0 0
6.0 1.0 1
7.0 1.0 1
8.0 1.0 0
9.0 1.0 0
10.0 1.0 0
11.0 1.0 0
12.0 1.0 0
13.0 1.0 0
14.0 1.0 0
15.0 1.0 0
16.0 1.0 0
17.0 1.0 0
18.0 1.0 0
19.0 1.0 0
20.0 1.0 0
21.0 1.0 0
22.0 1.0 0
23.0 1.0 0
24.0 1.0 0
25.0 1.0 0

1.0 1.5 0
2.0 1.5 0
3.0 1.5 1
4.0 1.5 0
5.0 1.5 0
6.0 1.5 0
7.0 1.5 0
8.0 1.5 0
9.0 1.5 1
10.0 1.5 0
11.0 1.5 0
12.0 1.5 0
13.0 1.5 0
14.0 1.5 0
15.0 1.5 0
16.0 1.5 0
17.0 1.5 0
18.0 1.5 0
19.0 1.5 0
20.0 1.5 0
21.0 1.5 0
22.0 1.5 0
23.0 1.5 0
24.0 1.5 0
25.0 1.5 0

1.0 2.0 2
2.0 2.0 1
3.0 2.0 2
4.0 2.0 1
5.0 2.0 3
6.0 2.0 0
7.0 2.0 3
8.0 2.0 0
9.0 2.0 0
10.0 2.0 1
11.0 2.0 0
12.0 2.0 0
13.0 2.0 0
14.0 2.0 0
15.0 2.0 1
16.0 2.0 0
17.0 2.0 0
18.0 2.0 0
19.0 2.0 0
20.0 2.0 0
21.0 2.0 1
22.0 2.0 0
23.0 2.0 0
24.0 2.0 0
25.0 2.0 0

1.0 2.5 0
2.0 2.5 2
3.0 2.5 1
4.0 2.5 2
5.0 2.5 2
6.0 2.5 0
7.0 2.5 0
8.0 2.5 0
9.0 2.5 0
10.0 2.5 0
11.0 2.5 0
12.0 2.5 0
13.0 2.5 0
14.0 2.5 0
15.0 2.5 0
16.0 2.5 0
17.0 2.5 0
18.0 2.5 0
19.0 2.5 0
20.0 2.5 0
21.0 2.5 0
22.0 2.5 0
23.0 2.5 0
24.0 2.5 1
25.0 2.5 0

1.0 3.0 0
2.0 3.0 0
3.0 3.0 4
4.0 3.0 1
5.0 3.0 0
6.0 3.0 1
7.0 3.0 0
8.0 3.0 0
9.0 3.0 0
10.0 3.0 1
11.0 3.0 0
12.0 3.0 0
13.0 3.0 0
14.0 3.0 0
15.0 3.0 0
16.0 3.0 0
17.0 3.0 0
18.0 3.0 0
19.0 3.0 0
20.0 3.0 0
21.0 3.0 0
22.0 3.0 0
23.0 3.0 0
24.0 3.0 0
25.0 3.0 0

1.0 3.5 0
2.0 3.5 0
3.0 3.5 0
4.0 3.5 2
5.0 3.5 2
6.0 3.5 2
7.0 3.5 2
8.0 3.5 2
9.0 3.5 0
10.0 3.5 0
11.0 3.5 0
12.0 3.5 0
13.0 3.5 0
14.0 3.5 0
